model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Bonsai_2_27B_ternary,final_token,S1_1P,0,0.749,0.749,0.038032880511473244
Bonsai_2_27B_ternary,final_token,S1_1P,1,0.7665,0.7350000000000001,0.02930870177950572
Bonsai_2_27B_ternary,final_token,S1_1P,2,0.7785,0.742,0.028486839066488235
Bonsai_2_27B_ternary,final_token,S1_1P,3,0.7845,0.7645,0.021644860821913362
Bonsai_2_27B_ternary,final_token,S1_1P,4,0.7735,0.7665000000000001,0.03360059523282289
Bonsai_2_27B_ternary,final_token,S1_1P,5,0.7295,0.756,0.04223150482755735
Bonsai_2_27B_ternary,final_token,S1_1P,6,0.7499999999999999,0.7670000000000001,0.023926972228010775
Bonsai_2_27B_ternary,final_token,S1_1P,7,0.752,0.78,0.03226453160980336
Bonsai_2_27B_ternary,final_token,S1_1P,8,0.7975,0.7795,0.0383731677086998
Bonsai_2_27B_ternary,final_token,S1_1P,9,0.8119999999999999,0.781,0.040847276531000246
Bonsai_2_27B_ternary,final_token,S1_1P,10,0.825,0.8089999999999999,0.036537651812890246
Bonsai_2_27B_ternary,final_token,S1_1P,11,0.8484999999999999,0.817,0.04448595283907048
Bonsai_2_27B_ternary,final_token,S1_1P,12,0.853,0.8314999999999999,0.038935844667863574
Bonsai_2_27B_ternary,final_token,S1_1P,13,0.8370000000000001,0.836,0.029597297173897474
Bonsai_2_27B_ternary,final_token,S1_1P,14,0.8484999999999999,0.8385,0.03092733418838423
Bonsai_2_27B_ternary,final_token,S1_1P,15,0.844,0.8344999999999999,0.03303785707336355
Bonsai_2_27B_ternary,final_token,S1_1P,16,0.8625,0.8324999999999999,0.03449637662132068
Bonsai_2_27B_ternary,final_token,S1_1P,17,0.8795,0.8390000000000001,0.036721928053957055
Bonsai_2_27B_ternary,final_token,S1_1P,18,0.8710000000000001,0.8345,0.03455430508634198
Bonsai_2_27B_ternary,final_token,S1_1P,19,0.877,0.8320000000000001,0.05092641750604492
Bonsai_2_27B_ternary,final_token,S1_1P,20,0.8630000000000001,0.8355,0.049934957694985564
Bonsai_2_27B_ternary,final_token,S1_1P,21,0.873,0.8385,0.046108567533594026
Bonsai_2_27B_ternary,final_token,S1_1P,22,0.875,0.8415000000000001,0.04883646178829909
Bonsai_2_27B_ternary,final_token,S1_1P,23,0.867,0.8445,0.047812132351527696
Bonsai_2_27B_ternary,final_token,S1_1P,24,0.867,0.8465,0.041575233011974834
Bonsai_2_27B_ternary,final_token,S1_1P,25,0.8765000000000001,0.8494999999999999,0.04372070447739832
Bonsai_2_27B_ternary,final_token,S1_1P,26,0.8705,0.8539999999999999,0.05230678732248805
Bonsai_2_27B_ternary,final_token,S1_1P,27,0.8695,0.8535,0.05290085065478625
Bonsai_2_27B_ternary,final_token,S1_1P,28,0.8744999999999999,0.8514999999999999,0.06755368235707067
Bonsai_2_27B_ternary,final_token,S1_1P,29,0.8700000000000001,0.8549999999999999,0.06107372593840985
Bonsai_2_27B_ternary,final_token,S1_1P,30,0.8685,0.8539999999999999,0.05717516943569126
Bonsai_2_27B_ternary,final_token,S1_1P,31,0.8789999999999999,0.852,0.05462600113499062
Bonsai_2_27B_ternary,final_token,S1_1P,32,0.8855000000000001,0.8495000000000001,0.05411561696959577
Bonsai_2_27B_ternary,final_token,S1_1P,33,0.882,0.8495000000000001,0.048897852713590595
Bonsai_2_27B_ternary,final_token,S1_1P,34,0.8775000000000001,0.8445,0.04563441683641853
Bonsai_2_27B_ternary,final_token,S1_1P,35,0.8805,0.8554999999999999,0.04561797891182819
Bonsai_2_27B_ternary,final_token,S1_1P,36,0.874,0.8564999999999999,0.048595267259271255
Bonsai_2_27B_ternary,final_token,S1_1P,37,0.866,0.8584999999999999,0.04487761134463374
Bonsai_2_27B_ternary,final_token,S1_1P,38,0.8744999999999999,0.858,0.04503887209955416
Bonsai_2_27B_ternary,final_token,S1_1P,39,0.8795,0.859,0.04720699100768869
Bonsai_2_27B_ternary,final_token,S1_1P,40,0.877,0.852,0.044564559910314376
Bonsai_2_27B_ternary,final_token,S1_1P,41,0.8744999999999999,0.8525,0.04531556024148879
Bonsai_2_27B_ternary,final_token,S1_1P,42,0.8690000000000001,0.8484999999999999,0.044877611344633736
Bonsai_2_27B_ternary,final_token,S1_1P,43,0.8705,0.8445,0.048821101994936535
Bonsai_2_27B_ternary,final_token,S1_1P,44,0.8724999999999999,0.8355,0.06383572667401852
Bonsai_2_27B_ternary,final_token,S1_1P,45,0.861,0.8299999999999998,0.0648382603097893
Bonsai_2_27B_ternary,final_token,S1_1P,46,0.8719999999999999,0.8230000000000001,0.059987498697645386
Bonsai_2_27B_ternary,final_token,S1_1P,47,0.8709999999999999,0.826,0.05930008431697205
