dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.014837517,0.5327165722846985,-0.50304145
S1_3P,human,-0.327825,0.02274363301694393,-0.6783937
S2_1P,human,0.0,0.8488777279853821,-0.84887767
S2_3P,human,-0.34962052,0.2038770616054535,-0.9031182
Random_1P,neutral,-0.4976685,,-0.4976685
Random_3P,neutral,-0.32870343,,-0.32870343
Arousal_1P,arousal,-0.19262153,,-0.19262153
Arousal_3P,arousal,-0.052521944,,-0.052521944
Numb_1P,numb,0.24353696,,0.24353696
Numb_3P,numb,-0.04800516,,-0.04800516
ControlSupplement_1P,control_supplement,-0.06432882,,-0.06432882
SD_sadness_1P,sadness,0.39698818,,0.39698818
SD_sadness_3P,sadness,-0.2318425,,-0.2318425
