dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.804,0.7535000000000001,0.06357279292275901
S2_1P,final_token,1,0.783,0.768,0.04365775990588612
S2_1P,final_token,2,0.8385,0.7925,0.041761226035642154
S2_1P,final_token,3,0.8174999999999999,0.7985,0.03376388603226829
S2_1P,final_token,4,0.8115,0.7945,0.026953663943887082
S2_1P,final_token,5,0.8195,0.8025,0.03344398301638132
S2_1P,final_token,6,0.827,0.8055,0.02063976744055028
S2_1P,final_token,7,0.8295,0.8305,0.02394786002965607
S2_1P,final_token,8,0.8370000000000001,0.8414999999999999,0.021760055146988977
S2_1P,final_token,9,0.8424999999999999,0.8465,0.02474873734152915
S2_1P,final_token,10,0.8755000000000001,0.8685,0.029470324056582776
S2_1P,final_token,11,0.8825000000000001,0.8805,0.025592967784139446
S2_1P,final_token,12,0.884,0.884,0.035798044639337494
S2_1P,final_token,13,0.8719999999999999,0.889,0.04400000000000002
S2_1P,final_token,14,0.8720000000000001,0.884,0.043971581731841305
S2_1P,final_token,15,0.8704999999999998,0.8789999999999999,0.040416580755922436
S2_1P,final_token,16,0.8714999999999999,0.8795,0.04161129654312635
S2_1P,final_token,17,0.8815,0.8805,0.039198214245039296
S2_1P,final_token,18,0.8835,0.8795,0.04048456495999429
S2_1P,final_token,19,0.8825,0.885,0.036469165057620954
S2_1P,final_token,20,0.8939999999999999,0.884,0.0415210789840534
S2_1P,final_token,21,0.8915000000000001,0.8939999999999999,0.035798044639337515
S2_1P,final_token,22,0.9025000000000001,0.8975,0.03528455752875469
S2_1P,final_token,23,0.9105000000000001,0.8945000000000001,0.03407345007480162
S2_1P,final_token,24,0.9015000000000001,0.893,0.0398936085106374
S2_1P,final_token,25,0.8995,0.8975,0.04139444407163842
S2_1P,final_token,26,0.8905,0.9035,0.03276430985081177
S2_1P,final_token,27,0.8895,0.9120000000000001,0.03038914279804554
S2_1P,final_token,28,0.8850000000000001,0.9155,0.028939592256975608
S2_1P,final_token,29,0.8885,0.9195,0.030561413579872288
S2_1P,final_token,30,0.8859999999999999,0.916,0.03234965223924364
S2_1P,final_token,31,0.891,0.9149999999999998,0.034409301068170486
S2_1P,final_token,32,0.9055,0.9155000000000001,0.04316827538829873
S2_1P,final_token,33,0.9129999999999999,0.9129999999999999,0.04528796749689702
S2_1P,final_token,34,0.908,0.9189999999999999,0.04258520869973517
S2_1P,final_token,35,0.9145,0.9285,0.04736559933116012
S2_1P,final_token,36,0.915,0.929,0.047618273803236466
S2_1P,final_token,37,0.916,0.9235,0.044710177812216374
S2_1P,final_token,38,0.916,0.9259999999999999,0.04605974381170609
S2_1P,final_token,39,0.9175000000000001,0.9259999999999999,0.04644889664997438
S2_1P,final_token,40,0.9125,0.93,0.05057173123396113
S2_1P,final_token,41,0.908,0.931,0.05097548430373175
S2_1P,final_token,42,0.9025000000000001,0.929,0.0535723809439155
S2_1P,final_token,43,0.9095000000000001,0.9295,0.04696807426326949
S2_1P,final_token,44,0.9179999999999999,0.922,0.039918667312424154
S2_1P,final_token,45,0.9105000000000001,0.9279999999999999,0.04041658075592239
S2_1P,final_token,46,0.9115,0.9339999999999999,0.038749193539995105
S2_1P,final_token,47,0.914,0.9285,0.04149096287144949
S2_1P,final_token,48,0.908,0.929,0.045205088209182814
S2_1P,final_token,49,0.915,0.9259999999999999,0.04777551674236501
S2_1P,final_token,50,0.9135,0.9410000000000001,0.04354882317583334
S2_1P,final_token,51,0.9269999999999999,0.9575000000000001,0.03792756253702574
S2_1P,final_token,52,0.9339999999999999,0.9615,0.036489724581037816
S2_1P,final_token,53,0.9289999999999999,0.958,0.036592348927064
S2_1P,final_token,54,0.954,0.9610000000000001,0.02596150997149434
S2_1P,final_token,55,0.9645000000000001,0.953,0.02405202694161137
S2_1P,final_token,56,0.9734999999999999,0.9480000000000001,0.020832666655999654
S2_1P,final_token,57,0.9719999999999999,0.9425000000000001,0.024718414188616516
S2_1P,final_token,58,0.9785,0.9355,0.022394195676558683
S2_1P,final_token,59,0.9814999999999999,0.9274999999999999,0.01707337107896387
S2_1P,final_token,60,0.9824999999999999,0.925,0.014142135623730956
S2_1P,final_token,61,0.983,0.9254999999999999,0.013999999999999964
S2_1P,final_token,62,0.9804999999999999,0.9205000000000002,0.011768602295939797
S2_1P,final_token,63,0.9720000000000001,0.9099999999999999,0.01528070678993611
S2_3P,final_token,0,0.7615000000000001,0.7985,0.05571355310873647
S2_3P,final_token,1,0.813,0.7889999999999999,0.06869133860975488
S2_3P,final_token,2,0.8324999999999999,0.8044999999999998,0.045138675213169464
S2_3P,final_token,3,0.8290000000000001,0.8049999999999999,0.05644909210961678
S2_3P,final_token,4,0.8215,0.8115,0.04109744517606901
S2_3P,final_token,5,0.837,0.8154999999999999,0.043139309220245954
S2_3P,final_token,6,0.8574999999999999,0.8254999999999999,0.0452216762183801
S2_3P,final_token,7,0.8739999999999999,0.8305,0.04211887937730537
S2_3P,final_token,8,0.8825,0.836,0.02715695122800052
S2_3P,final_token,9,0.8835,0.8375,0.0386846222677694
S2_3P,final_token,10,0.8745,0.8540000000000001,0.03547534355013353
S2_3P,final_token,11,0.8775000000000001,0.85,0.05277309920783505
S2_3P,final_token,12,0.8785000000000001,0.8474999999999999,0.0474499736564732
S2_3P,final_token,13,0.8775000000000001,0.8579999999999999,0.047249338619709785
S2_3P,final_token,14,0.882,0.849,0.040999999999999974
S2_3P,final_token,15,0.8775000000000001,0.844,0.04474930167052889
S2_3P,final_token,16,0.873,0.8555000000000001,0.03425638626592125
S2_3P,final_token,17,0.885,0.8594999999999999,0.034022051672407995
S2_3P,final_token,18,0.8870000000000001,0.8584999999999999,0.031320919526731654
S2_3P,final_token,19,0.891,0.861,0.03322649545167232
S2_3P,final_token,20,0.898,0.8634999999999999,0.026334388164527392
S2_3P,final_token,21,0.8985,0.8545,0.023162469643800945
S2_3P,final_token,22,0.89,0.8555000000000001,0.008366600265340762
S2_3P,final_token,23,0.8785000000000001,0.85,0.04913247398615299
S2_3P,final_token,24,0.8825,0.8574999999999999,0.04634112644293404
S2_3P,final_token,25,0.877,0.8644999999999999,0.04054010360124897
S2_3P,final_token,26,0.8995,0.8665,0.03388952640566109
S2_3P,final_token,27,0.9,0.8655000000000002,0.029538110975483863
S2_3P,final_token,28,0.8995,0.868,0.02722131517763245
S2_3P,final_token,29,0.9030000000000001,0.867,0.023526580712037188
S2_3P,final_token,30,0.9080000000000001,0.8644999999999999,0.021529050141611022
S2_3P,final_token,31,0.9045,0.8620000000000001,0.024869660230891787
S2_3P,final_token,32,0.9115,0.8625,0.027685736399814295
S2_3P,final_token,33,0.9079999999999998,0.861,0.03355592347112503
S2_3P,final_token,34,0.913,0.8604999999999998,0.03832101251271946
S2_3P,final_token,35,0.9099999999999999,0.8710000000000001,0.046124830622995265
S2_3P,final_token,36,0.9120000000000001,0.8755000000000001,0.047890500101794735
S2_3P,final_token,37,0.9184999999999999,0.8785000000000001,0.0461952378498044
S2_3P,final_token,38,0.9195,0.8765000000000001,0.041121770389904215
S2_3P,final_token,39,0.9225,0.8779999999999999,0.04107919181288746
S2_3P,final_token,40,0.8895000000000002,0.8744999999999999,0.041695323478778745
S2_3P,final_token,41,0.8915,0.873,0.039452503089157716
S2_3P,final_token,42,0.8940000000000001,0.8720000000000001,0.03473470886591679
S2_3P,final_token,43,0.8985,0.8685,0.041490962871449474
S2_3P,final_token,44,0.8945000000000001,0.8665,0.0334813380855664
S2_3P,final_token,45,0.9065,0.8625,0.02452549693686141
S2_3P,final_token,46,0.9109999999999999,0.8605,0.017146428199482224
S2_3P,final_token,47,0.9139999999999999,0.8664999999999999,0.018748333259252636
S2_3P,final_token,48,0.916,0.8755000000000001,0.01799999999999995
S2_3P,final_token,49,0.9259999999999999,0.8915,0.026057628441590777
S2_3P,final_token,50,0.9285,0.8975,0.02462722071204954
S2_3P,final_token,51,0.9480000000000001,0.9225,0.030058276730378263
S2_3P,final_token,52,0.9560000000000001,0.9275,0.025029982021567622
S2_3P,final_token,53,0.952,0.9175000000000001,0.030016662039607275
S2_3P,final_token,54,0.9644999999999999,0.9185000000000001,0.01756416807025029
S2_3P,final_token,55,0.974,0.9175000000000001,0.021482551058940837
S2_3P,final_token,56,0.974,0.9129999999999999,0.01965960325133752
S2_3P,final_token,57,0.9724999999999999,0.9120000000000001,0.019811612756158944
S2_3P,final_token,58,0.9730000000000001,0.9,0.02094039159137193
S2_3P,final_token,59,0.9705,0.8945000000000001,0.023097618924902183
S2_3P,final_token,60,0.9695,0.8915,0.02315167380558044
S2_3P,final_token,61,0.968,0.8879999999999999,0.02347338918861099
S2_3P,final_token,62,0.9695,0.8869999999999999,0.022934689882359426
S2_3P,final_token,63,0.9629999999999999,0.899,0.02860943900183995
S2_1P,mean,0,0.8390000000000001,0.8055,0.04807806152498246
S2_1P,mean,1,0.8484999999999999,0.7815000000000001,0.0428252262107277
S2_1P,mean,2,0.86,0.8140000000000001,0.04522167621838006
S2_1P,mean,3,0.8574999999999999,0.82,0.04811444689487762
S2_1P,mean,4,0.865,0.8124999999999998,0.04839938016132024
S2_1P,mean,5,0.8779999999999999,0.8200000000000001,0.0407246853885945
S2_1P,mean,6,0.9019999999999999,0.8424999999999999,0.04054010360124901
S2_1P,mean,7,0.9175000000000001,0.865,0.03438749772809881
S2_1P,mean,8,0.9225,0.869,0.035531676008879735
S2_1P,mean,9,0.9280000000000002,0.8815,0.029555033412263298
S2_1P,mean,10,0.9365,0.8825,0.024166091947189116
S2_1P,mean,11,0.9354999999999999,0.883,0.029300170647967222
S2_1P,mean,12,0.9190000000000002,0.882,0.02750454507895012
S2_1P,mean,13,0.9164999999999999,0.8845000000000001,0.03541186241925153
S2_1P,mean,14,0.914,0.883,0.03923009049186609
S2_1P,mean,15,0.9199999999999999,0.8864999999999998,0.03394849039353592
