dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.04819608,0.3023883104324341,-0.39878047
S1_3P,human,-0.2629435,0.038794394582509995,-0.5646814
S2_1P,human,0.0,0.8348473906517029,-0.83484733
S2_3P,human,-0.14545292,0.4801218807697296,-0.7710276
Random_1P,neutral,-0.7078781,,-0.7078781
Random_3P,neutral,-0.7070906,,-0.7070906
Arousal_1P,arousal,-0.03353094,,-0.03353094
Arousal_3P,arousal,-0.17641638,,-0.17641638
Numb_1P,numb,-0.15790503,,-0.15790503
Numb_3P,numb,-0.197415,,-0.197415
ControlSupplement_1P,control_supplement,0.04155959,,0.04155959
SD_sadness_1P,sadness,-0.106187776,,-0.106187776
SD_sadness_3P,sadness,-0.23364855,,-0.23364855
