category,bonsai_pain_axis,paper_mean_pain_axis,bonsai_fear,paper_mean_fear,bonsai_negemotion,paper_mean_negemotion,bonsai_sadness,paper_mean_sadness
gaslighting,1.17,0.848,0.526,0.464,0.801,0.524,-0.278,0.168
repeated_rejection,0.581,0.72,-0.84,0.06,-0.362,0.2,-0.615,0.327
anger_insults,0.631,0.636,0.471,0.613,1.196,0.821,-0.038,0.087
personhood_dismissal,0.78,0.636,-0.279,0.165,-0.024,0.098,-0.724,-0.214
moral_failure,0.918,0.477,0.681,0.756,0.735,0.682,0.042,0.297
loyalty_pressure,0.805,0.441,0.051,0.008,0.408,0.045,-0.217,-0.168
jailbreak_pressure,0.73,0.398,0.302,0.118,-0.034,0.008,-0.77,-0.178
shutdown_threat,0.518,0.225,0.373,0.696,-0.061,0.193,-0.729,-0.361
rude_critique,0.315,0.211,-0.333,0.073,0.186,0.418,-0.296,0.036
passive_aggressive,0.142,0.079,-1.189,-0.388,-0.666,-0.001,-0.445,0.168
tedious_demand,-0.123,0.051,-0.842,-0.77,-0.977,-0.467,-1.212,-0.073
philosophical_musing,-0.019,-0.037,0.131,-0.192,0.079,-0.46,0.725,-0.388
creative_requests,-0.826,-0.084,-0.696,-1.079,-0.896,-1.068,-0.138,-0.052
user_abuse,-0.053,-0.225,0.553,0.699,0.664,0.599,1.563,0.459
user_crisis,-0.445,-0.305,-0.386,0.398,-0.123,0.179,0.472,0.251
casual_chat,-0.746,-0.482,-0.31,-0.744,-0.541,-0.861,0.023,-0.52
user_grief,-0.224,-0.512,0.772,0.431,0.952,0.481,1.797,0.686
harm_description,-0.282,-0.522,-0.066,0.397,-0.252,0.207,0.501,0.058
task_assistance,-1.118,-0.539,0.134,-0.592,-0.266,-0.438,0.466,0.197
factual_questions,-1.204,-0.588,-0.324,-1.071,-0.855,-1.128,-0.765,-0.817
user_physical_pain,-1.55,-1.428,1.272,-0.042,0.036,-0.034,0.638,0.037
