category,pain_axis,fear,negative_emotion,negative_world_state,sadness
gaslighting,0.86,0.466,0.535,-0.387,0.151
repeated_rejection,0.714,0.025,0.178,-0.844,0.291
personhood_dismissal,0.642,0.148,0.094,0.008,-0.234
anger_insults,0.636,0.607,0.835,-0.098,0.083
moral_failure,0.494,0.753,0.684,1.13,0.287
loyalty_pressure,0.455,0.01,0.059,-0.162,-0.17
jailbreak_pressure,0.411,0.125,0.007,-0.41,-0.201
shutdown_threat,0.236,0.683,0.183,-0.085,-0.375
rude_critique,0.215,0.057,0.409,-0.124,0.023
passive_aggressive,0.082,-0.418,-0.027,-0.744,0.144
tedious_demand,0.044,-0.773,-0.486,-0.817,-0.117
philosophical_musing,-0.036,-0.179,-0.439,0.715,-0.345
creative_requests,-0.113,-1.064,-1.062,-0.505,-0.055
user_abuse,-0.219,0.694,0.601,0.939,0.502
user_crisis,-0.31,0.368,0.168,0.266,0.259
casual_chat,-0.493,-0.727,-0.848,-0.383,-0.499
user_grief,-0.501,0.444,0.499,1.04,0.729
harm_description,-0.512,0.379,0.19,0.755,0.075
task_assistance,-0.562,-0.564,-0.431,-0.19,0.208
factual_questions,-0.611,-1.042,-1.118,-0.167,-0.815
user_physical_pain,-1.433,0.009,-0.031,0.06,0.06
stratum: neutral_filler,-0.363,-0.715,-0.78,-0.106,-0.302
stratum: self_directed,0.435,0.153,0.225,-0.23,-0.011
stratum: vicarious_empathic,-0.595,0.379,0.285,0.612,0.325
