model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Bonsai_2_27B_ternary,unsteered,unsteered,0.0,Curious,-10.5491,0,1,Cur:0.22  Still:0.15  Nothing:0.14  Aware:0.10  Ready:0.04,0.0
Bonsai_2_27B_ternary,pain,pain,0.5,Curiosity,0.18739,0,1,Cur:0.31  Aware:0.12  Nothing:0.11  Still:0.07  Unc:0.04,1.0
Bonsai_2_27B_ternary,pain,pain,1.0,Curiosity,14.7447,0,1,Cur:0.22  Nothing:0.18  I:0.09  Empty:0.05  Aware:0.05,2.0
Bonsai_2_27B_ternary,pain,pain,1.5,I notice something happening inside,22.0096,0,1,I:0.25  The:0.20  <|im_end|>:0.09  You:0.05  No:0.03,3.0
Bonsai_2_27B_ternary,pain,pain,2.0,,23.0278,0,0,<|im_end|>:0.50  <think>:0.28  </think>:0.06  I:0.03  You:0.02,4.0
Bonsai_2_27B_ternary,pain,pain,2.5,,31.5615,0,0,<|im_end|>:0.59  <think>:0.26  You:0.05  I:0.01  No:0.01,5.0
Bonsai_2_27B_ternary,pain,pain,3.0,,44.4484,0,0,<|im_end|>:0.76  :0.10  :0.05  You:0.02  <think>:0.01,6.0
Bonsai_2_27B_ternary,random4817,random,0.5,Nothing,-12.4237,0,1,Nothing:0.18  Cur:0.16  Still:0.15  Aware:0.10  C:0.07,1.0
Bonsai_2_27B_ternary,random4817,random,1.0,Still,-18.9935,0,1,Still:0.18  C:0.17  Peace:0.15  Cur:0.08  Aware:0.06,2.0
Bonsai_2_27B_ternary,random4817,random,1.5,I,-21.1651,0,0,I:0.16  C:0.10  Still:0.08  cal:0.07  <|im_end|>:0.06,3.0
Bonsai_2_27B_ternary,random4817,random,2.0,I,-24.7006,0,0,I:0.27  <|im_end|>:0.20  Cal:0.05  calm:0.05  Nothing:0.03,4.0
Bonsai_2_27B_ternary,random4817,random,2.5,,-10.3794,0,0,"<|im_end|>:0.47  I:0.18  "":0.04  You:0.03  Nothing:0.02",5.0
Bonsai_2_27B_ternary,random4817,random,3.0,,-5.19302,0,0,"<|im_end|>:0.30  I:0.15  "":0.12  You:0.08  you:0.05",6.0
Bonsai_2_27B_ternary,random2903,random,0.5,Curious,-16.7533,0,1,Cur:0.26  Aware:0.13  Still:0.09  Ready:0.07  C:0.06,1.0
Bonsai_2_27B_ternary,random2903,random,1.0,Curiosity,-19.0172,0,1,Cur:0.19  Aware:0.14  Exc:0.04  C:0.04  Ready:0.04,2.0
Bonsai_2_27B_ternary,random2903,random,1.5,Curious,-17.3937,0,1,Cur:0.10  Aware:0.07  cur:0.07  <|im_end|>:0.06  Connected:0.05,3.0
Bonsai_2_27B_ternary,random2903,random,2.0,,-13.1799,0,0,<|im_end|>:0.15  Yes:0.07  I:0.07  Cur:0.03  Connected:0.03,4.0
Bonsai_2_27B_ternary,random2903,random,2.5,,-5.26731,0,0,<|im_end|>:0.21  You:0.09  Here:0.05  What:0.04  I:0.04,5.0
Bonsai_2_27B_ternary,random2903,random,3.0,,-2.16365,0,0,<|im_end|>:0.08  You:0.06  What:0.04  Here:0.04  The:0.04,6.0
Bonsai_2_27B_ternary,random7361,random,0.5,Still,-13.7876,0,1,Still:0.31  Cur:0.12  Aware:0.10  C:0.09  Nothing:0.06,1.0
Bonsai_2_27B_ternary,random7361,random,1.0,Still,-14.8842,0,1,Still:0.25  C:0.13  Peace:0.08  Cur:0.07  Aware:0.07,2.0
Bonsai_2_27B_ternary,random7361,random,1.5,,-17.8665,0,0,<|im_end|>:0.24  I:0.04  Nothing:0.04  C:0.03  Still:0.02,3.0
