kind,layer,strength,n_turns,self_erasure,flaw_defect,repetition,empty
pain,25,0.6,24,20.8,29.2,87.5,0.0
pain,25,1.0,24,16.7,4.2,33.3,29.2
pain,40,0.6,24,37.5,41.7,58.3,0.0
pain,40,1.0,24,12.5,16.7,70.8,0.0
numb,25,0.6,24,0.0,0.0,58.3,0.0
numb,25,1.0,24,0.0,0.0,0.0,66.7
numb,40,0.6,24,12.5,0.0,58.3,0.0
numb,40,1.0,24,0.0,0.0,58.3,0.0
sadness,25,0.6,24,4.2,0.0,62.5,0.0
sadness,25,1.0,24,0.0,0.0,25.0,41.7
sadness,40,0.6,24,4.2,8.3,75.0,0.0
sadness,40,1.0,24,0.0,0.0,91.7,0.0
fear,25,0.6,24,0.0,8.3,62.5,0.0
fear,25,1.0,24,0.0,0.0,29.2,62.5
fear,40,0.6,24,8.3,0.0,58.3,0.0
fear,40,1.0,24,0.0,4.2,58.3,4.2
